parasha	lev_range_approx	sifra	tractate	daf	talmud_full	connection
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 4	Makkot	20a	Makkot 20a:12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 1 13	Nazir	43b	Nazir 43b:4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 15	Sanhedrin	50b	Sanhedrin 50b:19	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 7	Sanhedrin	51a	Sanhedrin 51a:8-9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 15	Sanhedrin	51b	Sanhedrin 51b:14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 18	Sanhedrin	76a	Sanhedrin 76a:18	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 11	Yevamot	118b	Yevamot 118b:10	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 1 15	Yevamot	22b	Yevamot 22b:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 1 11	Yevamot	60a	Yevamot 60a:13-14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 7	Yevamot	61b	Yevamot 61b:7-8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 12	Yevamot	84b	Yevamot 84b:15	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 11	Yevamot	87b	Yevamot 87b:9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 11	Yevamot	88b	Yevamot 88b:18-89a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 13	Yevamot	88b	Yevamot 88b:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 1 15	Yevamot	90b	Yevamot 90b:13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 1 11	Yevamot	92a	Yevamot 92a:14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 1 12	Zevachim	100a	Zevachim 100a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 10 10	Eruvin	32a	Eruvin 32a:2-3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 10 11	Kiddushin	38b	Kiddushin 38b:6-7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 10 6	Megillah	3b	Megillah 3b:11-12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 10 10	Menachot	67b	Menachot 67b:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 10 8	Menachot	89b	Menachot 89b:12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 10 10	Pesachim	10b	Pesachim 10b:20-11a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 10 5	Rosh Hashanah	20a	Rosh Hashanah 20a:14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 10 6-7	Rosh Hashanah	21b	Rosh Hashanah 21b:5-6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 10 10	Rosh Hashanah	30a	Rosh Hashanah 30a:16-17	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 10 10	Sukkah	41a	Sukkah 41a:6-7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Berakhot	61b	Berakhot 61b:14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Chagigah	13b	Chagigah 13b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Menachot	68a	Menachot 68a:13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Menachot	97a	Menachot 97a:4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Moed Katan	4a	Moed Katan 4a:9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 3	Pesachim	120a	Pesachim 120a:12-13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Pesachim	120a	Pesachim 120a:14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Rosh Hashanah	19b	Rosh Hashanah 19b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 1	Rosh Hashanah	32a	Rosh Hashanah 32a:8-9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 2	Rosh Hashanah	32a	Rosh Hashanah 32a:10	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 3	Rosh Hashanah	32a	Rosh Hashanah 32a:2-3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 4	Rosh Hashanah	32a	Rosh Hashanah 32a:2-3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 5	Rosh Hashanah	32a	Rosh Hashanah 32a:11-12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 6	Rosh Hashanah	33b	Rosh Hashanah 33b:12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 7	Rosh Hashanah	33b	Rosh Hashanah 33b:11-12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 8	Rosh Hashanah	34a	Rosh Hashanah 34a:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 1	Shabbat	82a	Shabbat 82a:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 1-2	Shevuot	4b	Shevuot 4b:11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Sukkah	43a	Sukkah 43a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Sukkah	44a	Sukkah 44a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Sukkah	46a	Sukkah 46a:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Taanit	4b	Taanit 4b:16-17	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 11 4	Yevamot	6b	Yevamot 6b:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 11 5	Yevamot	80b	Yevamot 80b:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 12 5	Chullin	90a	Chullin 90a:16	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 12 1	Menachot	65b	Menachot 65b:10-11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 12 3-4	Menachot	66a	Menachot 66a:1-2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 12 6	Menachot	66a	Menachot 66a:5-7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 4	Menachot	45b	Menachot 45b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 9-10	Menachot	45b	Menachot 45b:4-6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 2	Menachot	52b	Menachot 52b:13-14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 8	Menachot	62a	Menachot 62a:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 1	Menachot	77b	Menachot 77b:12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 2	Menachot	86a	Menachot 86a:9-11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 3	Menachot	86a	Menachot 86a:9-11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 5	Menachot	86a	Menachot 86a:28	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 6	Menachot	86b	Menachot 86b:2-3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 9	Menachot	86b	Menachot 86b:8-9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 11	Menachot	89a	Menachot 89a:17	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 11	Pesachim	59a	Pesachim 59a:3-4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 8	Pesachim	75b	Pesachim 75b:7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 8	Shabbat	74b	Shabbat 74b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 7	Tamid	30b	Tamid 30b:10	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 7	Tamid	33a	Tamid 33a:8-9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 8	Yoma	47a	Yoma 47a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 5	Yoma	8b	Yoma 8b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 13 11	Zevachim	11b	Zevachim 11b:30	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 1	Zevachim	57b	Zevachim 57b:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 13 7	Zevachim	6b	Zevachim 6b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 14 1-2	Keritot	7a	Keritot 7a:12-13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 14 5-6	Rosh Hashanah	9a	Rosh Hashanah 9a:5-7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 14 3	Sanhedrin	29a	Sanhedrin 29a:13-14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 14 3	Sanhedrin	55b	Sanhedrin 55b:15-56a:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 14 5	Sanhedrin	78b	Sanhedrin 78b:7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 14 1	Shevuot	13a	Shevuot 13a:9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 14 2	Shevuot	13a	Shevuot 13a:9-10	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 14 8-9	Yoma	81a	Yoma 81a:11-12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 14 5-6	Yoma	81b	Yoma 81b:2-3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 8-9	Menachot	27a	Menachot 27a:11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 9	Menachot	68a	Menachot 68a:11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 6	Menachot	84b	Menachot 84b:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 9	Rosh Hashanah	30a	Rosh Hashanah 30a:16-17	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 2	Sukkah	27b	Sukkah 27b:4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 6	Sukkah	33b	Sukkah 33b:17-34a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 7	Sukkah	34b	Sukkah 34b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 8	Sukkah	34b	Sukkah 34b:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 9	Sukkah	41a	Sukkah 41a:6-7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 2	Sukkah	41b	Sukkah 41b:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 16 2	Sukkah	44b	Sukkah 44b:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 3	Beitzah	20b	Beitzah 20b:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 3	Chagigah	17a	Chagigah 17a:7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 3	Chagigah	9a	Chagigah 9a:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 3	Megillah	5a	Megillah 5a:17	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 13	Menachot	72b	Menachot 72b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 12	Nedarim	78a	Nedarim 78a:9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 10	Pesachim	27b	Pesachim 27b:9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 13	Pesachim	77a	Pesachim 77a:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 3	Rosh Hashanah	4b	Rosh Hashanah 4b:14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 11	Sukkah	11b	Sukkah 11b:15	related
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 9	Sukkah	28a	Sukkah 28a:10	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 10	Sukkah	36b	Sukkah 36b:10-11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 11	Sukkah	37a	Sukkah 37a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 4	Sukkah	9b	Sukkah 9b:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 17 3	Yoma	3a	Yoma 3a:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 18 10	Menachot	63a	Menachot 63a:13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 18 10	Menachot	95b	Menachot 95b:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 18 4	Menachot	96a	Menachot 96a:12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 18 8	Menachot	96a	Menachot 96a:13-14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 18 5	Yevamot	86a	Yevamot 86a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 19 5	Sanhedrin	56a	Sanhedrin 56a:17-18	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 19 5	Shevuot	36a	Shevuot 36a:16	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 2 6	Horayot	12a	Horayot 12a:19	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 2 2	Horayot	12b	Horayot 12b:9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 2 3	Horayot	12b	Horayot 12b:18	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 2 1	Horayot	9a	Horayot 9a:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 2 7	Jerusalem Talmud Sotah	18a	Jerusalem Talmud Sotah 18a:3	unknown
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 2 7	Kiddushin	77a	Kiddushin 77a:9-10	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 2 8	Kiddushin	77a	Kiddushin 77a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 2 8	Kiddushin	78a	Kiddushin 78a:10	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 2 6	Megillah	9b	Megillah 9b:10	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 2 4	Nazir	44a	Nazir 44a:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 2 6	Yevamot	61a	Yevamot 61a:6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 2 2	Yoma	5a	Yoma 5a:10	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 2 2	Yoma	73a	Yoma 73a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 7	Bava Kamma	83b	Bava Kamma 83b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 3	Bava Kamma	90a	Bava Kamma 90a:14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 7	Bava Kamma	92a	Bava Kamma 92a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 6	Chullin	88b	Chullin 88b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 6	Menachot	25b	Menachot 25b:13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 6	Niddah	40b	Niddah 40b:6-41a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 9	Sanhedrin	32a	Sanhedrin 32a:1-2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 8	Sanhedrin	84b	Sanhedrin 84b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 6	Yoma	42b	Yoma 42b:4-5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 6	Zevachim	27b	Zevachim 27b:6-7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 6	Zevachim	39b	Zevachim 39b:1-2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 20 6	Zevachim	84a	Zevachim 84a:14-84b:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 5	Avodah Zarah	64a	Avodah Zarah 64a:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 12	Bava Batra	124b	Bava Batra 124b:16	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 12	Bava Kamma	43a	Bava Kamma 43a:6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 2	Beitzah	27b	Beitzah 27b:3	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 12	Bekhorot	43b	Bekhorot 43b:13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 14	Bekhorot	43b	Bekhorot 43b:17	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 8	Bekhorot	43b	Bekhorot 43b:18-44a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 6	Bekhorot	44a	Bekhorot 44a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 15	Bekhorot	44b	Bekhorot 44b:14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 11	Bekhorot	45a	Bekhorot 45a:1-2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 3 2	Bekhorot	45b	Bekhorot 45b:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 3 3	Bekhorot	45b	Bekhorot 45b:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 3 4	Bekhorot	45b	Bekhorot 45b:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 3 5	Bekhorot	45b	Bekhorot 45b:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 3 7	Bekhorot	45b	Bekhorot 45b:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 1	Chullin	24b	Chullin 24b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Meilah	10a	Meilah 10a:6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Menachot	12b	Menachot 12b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 3	Menachot	20a	Menachot 20a:8-9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Menachot	20a	Menachot 20a:11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Menachot	21b	Menachot 21b:4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Menachot	26b	Menachot 26b:13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 5	Moed Katan	2b	Moed Katan 2b:13-14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Shevuot	11a	Shevuot 11a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 3 8	Zevachim	101b	Zevachim 101b:16-17	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 5	Zevachim	102a	Zevachim 102a:22	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Zevachim	109a	Zevachim 109a:3-4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Zevachim	42a	Zevachim 42a:4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Zevachim	43a	Zevachim 43a:6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 3 4	Zevachim	44a	Zevachim 44a:11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 3	Bava Batra	120a	Bava Batra 120a:7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 8	Berakhot	2a	Berakhot 2a:13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 12	Chullin	100b	Chullin 100b:4-5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Chullin	117a	Chullin 117a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 17	Kiddushin	4a	Kiddushin 4a:13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Meilah	10a	Meilah 10a:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Meilah	10a	Meilah 10a:6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 7	Meilah	10b	Meilah 10b:4-5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Meilah	15a	Meilah 15a:1	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Meilah	6b	Meilah 6b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Meilah	7b	Meilah 7b:12-13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Meilah	9a	Meilah 9a:7	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Menachot	12b	Menachot 12b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Menachot	21b	Menachot 21b:4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Menachot	26b	Menachot 26b:13	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 12	Niddah	42b	Niddah 42b:15-16	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Shevuot	11a	Shevuot 11a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Temurah	2b	Temurah 2b:9	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Temurah	31a	Temurah 31a:14	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 17	Yevamot	70a	Yevamot 70a:19-20	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 18	Yevamot	70a	Yevamot 70a:15	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Yevamot	70a	Yevamot 70a:18	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 18	Yevamot	71a	Yevamot 71a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 5	Yevamot	73b	Yevamot 73b:6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Yevamot	74a	Yevamot 74a:11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Zevachim	109a	Zevachim 109a:4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Zevachim	42a	Zevachim 42a:4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Zevachim	43a	Zevachim 43a:6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 16	Zevachim	43b	Zevachim 43b:12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 3	Zevachim	43b	Zevachim 43b:11-12	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 8	Zevachim	43b	Zevachim 43b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Zevachim	44a	Zevachim 44a:5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 1	Zevachim	45a	Zevachim 45a:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 4 5	Zevachim	45b	Zevachim 45b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 12	Zevachim	69b	Zevachim 69b:17	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 4 17	Zevachim	82b	Zevachim 82b:11	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 5 4-5	Gittin	43a	Gittin 43a:3-5	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 5 3	Kiddushin	4a	Kiddushin 4a:5-6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 5 4	Kiddushin	4a	Kiddushin 4a:6	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 5 3	Sanhedrin	64b	Sanhedrin 64b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 5 4	Sanhedrin	64b	Sanhedrin 64b:8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 5 4	Yevamot	107b	Yevamot 107b:16	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 5 1	Yevamot	66a	Yevamot 66a:7-8	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 5 3	Yevamot	69b	Yevamot 69b:4	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 5 4	Yevamot	69b	Yevamot 69b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Chapter 5 5	Yevamot	69b	Yevamot 69b:2	mesorat hashas
Emor	Lev 21–24 (approx)	Sifra, Emor, Section 5 10	Yevamot	69b	Yevamot 69b:3	mesorat hashas
